Key Value id name level Width(0
mtb:scale 5 87 path 3 5
natural spring 105 spring 4 0
natural wetland 14 Woody_Wetlands/Marina 0 0
natural shadow 0 invalid 0 0
natural water 1 Open_Water 0 0
natural scrub 10 Shrub/Scrub 0 0
natural wood 9 Mixed_Forest 0 0
natural beach 6 Barren_Land/Beach 1 0
natural stone 104 stone 4 0
natural glacier 106 snow_mountain 1 0
natural bay 6 Barren_Land/Beach 0 0
natural coastline 6 Barren_Land/Beach 0 0
natural saddle 107 saddle 4 0
natural grassland 11 Grassland/Herbaceous 0 0
natural bare_rock 104 rock 4 0
natural sand 6 Barren_Land/Beach 0 0
natural peak 148 mountain_peak 1 0
office government 15 building 4 0
office administrative 15 building 4 0
office travel_agent 15 building 4 0
office architect 15 building 4 0
office employment_agency 15 building 4 0
office real_estate_agent 15 building 4 0
office estate_agent 15 building 4 0
office company 15 building 4 0
office newspaper 15 building 4 0
office ngo 15 building 4 0
office accountant 15 building 4 0
office educational_institution 15 building 4 0
office political_party 15 building 4 0
office lawyer 15 building 4 0
office camping 15 building 4 0
office telecommunication 15 building 4 0
office foundation 15 building 4 0
office realtor 15 building 4 0
office it 15 building 4 0
office insurance 15 building 4 0
office research 15 building 4 0
office quango 15 building 4 0
power station 108 power_plant 2 0
power generator 109 power_generator 4 0
power plant 108 power_plant 2 0
power sub_station 108 power_plant 2 0
power tower 244 hv_towers 4 0
public_transport station 109 land_transfer_station 4 0
public_transport stop_position 109 land_transfer_station 4 0
public_transport platform 109 land_transfer_station 4 0
public_transport platform 115 train_station 4 0
railway rail 110 railway 3 2
railway level_crossing 117 rail_road_cross 3 0
railway station 115 train_station 4 0.5
railway construction 110 railway 3 0
railway preserved 110 railway 3 1.5
railway switch 110 railway 3 0
railway light_rail 111 light_rail 3 1.5
railway subway_entrance 116 subway_entrance 4 0
railway halt 109 land_transfer_station 4 0
railway abandoned 112 railway_abandoned 3 1.5
railway funicular 110 railway 3 1.5
railway subway 113 rail_subway 3 1.5
railway miniature 28 parks 1 0
railway tram 110 railway 3 1.5
railway turntable 110 railway 3 0
railway tram_stop 109 land_transfer_station 4 0
railway narrow_gauge 110 railway 3 1
railway disused 110 railway 3 1.5
railway construction 110 railway 3 1.5
route pipeline 100 pipeline 4 3
route tram 110 railway 3 1.5
route bicycle 87 path 3 0
route ferry 1 Open_Water 0 0
route bus 31 roads 3 0
route railway 110 railway 3 0
route train 110 railway 3 1.5
route mtb 87 path 3 1.5
route road 31 roads 3 2.5
route hiking 87 path 3 1.5
route detour 87 path 3 0
sac_scale hiking 87 path 3 1.5
sac_scale alpine_hiking 87 path 3 1.5
sac_scale demanding_mountain_hiking 87 path 3 1.5
sac_scale mountain_hiking 87 path 3 1.5
sac_scale demanding_alpine_hiking 87 path 3 1.5
sac_scale difficult_alpine_hiking 87 path 3 1.5
shop computer 128 store_computer 4 0
shop seafood 120 store 4 0
shop car_repair 43 garage 4 0
shop gift 120 store 4 0
shop hunting 120 store 4 0
shop supermarket 125 supermarket 4 0
shop tobacco 120 store 4 0
shop tattoo 120 store 4 0
shop trade 120 store 4 0
shop radiotechnics 120 store 4 0
shop window_blind 120 store 4 0
shop beauty 120 store 4 0
shop florist 127 store_florist 4 0
shop shoes 120 store 4 0
shop bathroom_furnishing 120 store 4 0
shop video 120 store 4 0
shop vacuum_cleaner 120 store 4 0
shop religion 120 store 4 0
shop curtain 120 store 4 0
shop craft 120 store 4 0
shop pet 50 pet 4 0
shop alcohol 118 store_alcohol 4 0
shop pawnbroker 120 store 4 0
shop department_store 124 mall 4 0
shop paint 120 store 4 0
shop dive 120 store 4 0
shop outdoor 120 store 4 0
shop anime 120 store 4 0
shop organic 120 store 4 0
shop optician 120 store 4 0
shop newsagent 120 store 4 0
shop antiques 120 store 4 0
shop electronics 120 store 4 0
shop musical_instrument 120 store 4 0
shop art 120 store 4 0
shop erotic 120 store 4 0
shop motorcycle 129 store_motorcycle 4 0
shop farm 120 store 4 0
shop toys 120 store 4 0
shop fish 120 store 4 0
shop baby_goods 120 store 4 0
shop frame 120 store 4 0
shop money_lender 120 store 4 0
shop bag 120 store 4 0
shop mobile_phone 120 store 4 0
shop massage 120 store 4 0
shop mall 124 mall 4 0
shop garden_centre 120 store 4 0
shop laundry 149 store_laundry 4 0
shop bakery 121 shop_bakery 4 0
shop kitchen 120 store 4 0
shop kiosk 120 store 4 0
shop greengrocer 120 store 4 0
